word,arti,contoh,bahasa
ANIDO,orang yang suka keluar rumah pada malam hari,,
ANIME,animasi atau kartun khas Jepang,,
ANIMO,"hasrat dan keinginan yang kuat untuk berbuat, melakukan, atau mengikuti sesuatu",-- untuk membeli barang-barang mewah agak berkurang,
ANION,"ion yang bermuatan negatif, dapat ditarik oleh elektrode positif di dalam peristiwa elektrolisis, misalnya Cl",,Kimia
ANJAK,"cari: anjakan, beranjak, dianjak, keberanjakan, menganjak, penganjakan",,prakategorial
ANJAL,lentur,,
ANJAN,tangga yang pijakannya berupa potongan kayu atau bambu yang disusun berjejer dan melintang,ia menaiki -- agar bisa memotong dahan pohon itu,Melayu Belitung
ANJAR,jangkar,,Arab
ANJAT,"tas berbentuk bundar, digendong di punggung, hasil kerajinan rotan suku Dayak di Kalimantan Timur",,
ANJER,batang kayu atau bambu yang ditancapkan sebagai penanda ditempatkannya jebakan rajungan atau ketam,panen ketam atau rajungan dapat dilihat dari banyaknya (--) yang dipasang,Jawa
ANJIK,cari: menganjik,,prakategorial
ANJIR,terusan,-- yang dibangun tidak dapat digunakan lagi untuk lalu lintas kendaraan air yang besar,
ANJOK,"rak bertingkat dari kayu, bambu, dan sebagainya untuk meletakkan barang-barang keperluan memasak, buah-buahan, biji-bijian, dan sebagainya",,Melayu Riau
ANJUL,batu karang yang besar,,Jawa
ANJUN,orang yang pekerjaannya membuat barang gerabah,,Sunda
ANJUR,tonjol,,
ANKER,anak kereta,,Cakapan
ANKUM,atasan yang berhak menghukum,,akronim
ANODA,→ anode,,
ANODE,bagian yang bermuatan positif dan bertugas untuk menarik elektron negatif dari katode,,Fisika
ANOMI,perilaku tanpa arah dan apatis,kini muncul sikap-sikap yang mengarah pada --,
ANSAI,"mengeringkan baju atau kain dengan cara digantung tanpa terkena panas matahari secara langsung, misalnya di bawah atap",tolong -- baju itu di bawah kanopi teras,Melayu Belitung
ANSAR,pembantu,,
ANSIS,analisis sistem,,akronim
ANSOR,→ ansar,,
ANTAH,gabah (yang terdapat pada beras atau nasi),,
ANTAN,alu,,
ANTAP,padat,,
ANTAR,bawa,,
ANTEK,orang (negara) yang diperalat atau dijadikan pengikut orang (negara) lain,,Jawa
ANTEM,cari: berantem,,prakategorial
ANTEP,→ antap (1),,
ANTIH,pintal,,
ANTIK,"kuno, tetapi tetap bernilai sebagai hasil karya seni atau benda budaya (tentang barang-barang)",koleksi barang --,
ANTIL,tanggul di pinggir jalan setapak,,Jawa
ANTIP,gunting kuku,,
ANTOI,→ antui,,
ANTOK,selubung pada jantung pisang,,Jawa
ANTOL,tongkat kayu sebagai penopang delman atau keretek atau kahar saat berhenti,,Sunda
ANTON,topeng yang bentuknya menyeramkan,,Jawa
ANTOP,serdawa,,
ANTOR,kerupuk beraneka warna yang terbuat dari adonan singkong parut dengan rasa gurih yang disangrai dalam pasir panas yang bersih hingga mengembang,,Jawa
ANTRE,"berdiri berderet-deret ke belakang menunggu untuk mendapat giliran (membeli karcis, mengambil ransum, membeli bensin, dan sebagainya)",,
ANTRI,→ antre,,
ANTUI,"pohon yang tingginya mencapai 30 m, daun lonjong, bunga menggerombol berwarna hijau dan menempel pada batang, buah berwarna hijau, kayu berwarna cokelat keputihan, kulit kayu digunakan untuk tali",,Botani
ANTUK,bentur,,
ANTUL,cari: mengantul,,prakategorial
ANTUN,"serba rapi (apik, bagus)",,Klasik
ANTUS,mengambil sesuatu dengan cara menyentak dengan keras,,Gayo
ANUAL,tahunan,,
ANUMA,"tumbuhan liar di hutan, berbatang tegak, berwarna hijau kecokelatan, daunnya berbentuk oval lonjong, ujung meruncing, tepi bergerigi, daunnya digunakan sebagai obat demam",,
ANYAK,→ enyak (1),,
ANYAM,cara menganyam,-- selang dua,
ANYAR,baru,,Jawa
ANYEH,minyak goreng,,Bahau
ANYEL,mengkal (hatinya),,Jawa
ANYIK,→ onyak-anyik (2),,
ANYIR,berbau seperti bau ikan,,
AORTA,batang nadi (pembuluh nadi yang besar) yang pangkalnya terletak pada bilik kiri jantung,,
APAAN,"kata tanya yang digunakan untuk menanyakan tindakan, tanpa mengharapkan jawaban",mainan ~ ini?,Pronomina
APANG,"penganan ringan yang terbuat dari terigu dengan campuran santan dan gula, dimasak dengan cara dibakar, dan biasanya disajikan pada upacara pernikahan.",,
APATI,ketiadaan perasaan,,
APAYA,"ajaran agama Buddha terkait kehidupan yang sengsara, terdiri atas alam neraka, alam setan, alam binatang, dan alam raksasa (asura)",,Agama Buddha
APEAN,rumput (alang-alang) yang telah kering,,Batak
APERD,agen penjual efek reksa dana,,singkatan
APING,nama panggilan bayi perempuan sebelum bayi tersebut diberi nama oleh orang tuanya,,
APION,gasing,,Arkais
APIUN,→ opium,,
APKIR,→ afkir,,
APLUS,"bergilir (tentang orang yang bertugas, berkawal, dan sebagainya)",,Cakapan
APNEA,hal terhentinya pernapasan secara tiba-tiba,,Kedokteran dan Fisiologi
APOGE,titik pada garis edar bulan atau satelit bumi lain yang terjauh dari bumi,,Astronomi
APOLO,penggemburan tanah di kebun,,
APRIL,bulan ke-4 tarikh Masehi (30 hari),,
APRIT,kabur,,Melayu Jakarta
APRON,"pelataran yang digunakan untuk menaikkan dan menurunkan penumpang, mengisi bahan bakar, atau sebagai tempat parkir dan perawatan pesawat",untuk praktik disediakan 70 pesawat yang terpusat pada empat -- untuk memarkirnya,
APTER,aparat/aparatur teritorial,,akronim
APULA,lapisan kulit luar buah kenari yang berwarna hitam dan telah membusuk,,Alune
APUNG,"cari: apung-apung, apungan, berapung-apung, berapungan, mengapung, mengapungkan, pengapung, pengapungan, terapung, terapung-apung",,prakategorial
APWIL,aparatur wilayah,,akronim
ARAMA,"rumah ibadah umat Buddha yang lebih besar daripada wihara, memiliki beberapa sarana dan prasarana yang lengkap",,Agama Buddha
ARAME,"rumput laut cokelat yang digunakan dalam
masakan Jepang",,
ARANG,bahan bakar yang hitam warnanya dibuat atau terjadi dari bara kayu dan sebagainya yang dipengap,,
ARARO,langit-langit mulut,,Nias
ARASY,takhta Tuhan,,Agama Islam
ARBAB,rebab,,Arab
ARBEI,murbei,,
ARBOR,"struktur lanskap atau taman yang dihiasi tanaman merambat, biasanya untuk berteduh atau memberikan aksen pada taman",,
ARCAS,roket penduga,,
ARDOK,arsip dokumentasi,,akronim
AREAL,bersangkutan dengan area,,
ARENA,gelanggang,-- tinju itu penuh sesak oleh penonton,
ARENG,jaring atau jala untuk menangkap rusa dan lain-lain,,Aceh
ARETA,keberanian dan kebajikan yang dimiliki seseorang yang menyebabkan dia dihormati oleh orang lain,,
ARGOL,tartar yang mengendap pada peragian anggur,,
ARGON,"gas mulia yang terdapat dalam atmosfer, tidak berwarna dan tidak berbau, biasa digunakan untuk mengisi bola lampu listrik",,
ARGOT,"bahasa dan perbendaharaan kata yang bersifat rahasia dari suatu kelompok orang, misalnya bahasa para pencopet",,Linguistik
ARHIR,"tulang tengah di bagian dalam hidung, pembatas lubang kanan dan kiri",,Kur
ARIAH,pohon yang buahnya dihibahkan untuk orang fakir selama satu tahun (tentang zakat),,
ARIEL,"satelit planet Uranus yang berpermukaan paling cemerlang berupa kawah dan lembah, diduga mengandung material es dan batuan dengan persentase kurang lebih sama, memiliki siklus musim ekstrem karena mengorbit dan berotasi di bidang khatulistiwa Uranus dan hampir tegak lurus terhadap orbit Uranus",,Astronomi
ARIES,rasi bintang di belahan langit utara khatulistiwa,,Astronomi
ARING,→ urang-aring,,
ARJER,membuang ludah saat menyirih,,Karey
ARKUS,"bentuk awan tambahan, berupa gulungan mendatar, tebal, dengan ujung-ujungnya seperti perca, terletak di bagian bawah awan tertentu dan terlihat seperti busur yang gelap ketika meluas",,Hidrometeorologi
ARMED,artileri medan,,akronim
ARMEL,Arab Melayu,,akronim
ARMOS,"sangat renyah (tentang irisan buah, umbi, atau kerupuk)",,Madura
ARNAL,tusuk kundai,,Cakapan
ARNIS,olahraga bela diri dari Filipina yang menggunakan tongkat rotan sebagai senjata,,
AROMA,bau-bauan yang harum (yang berasal dari tumbuh-tumbuhan atau akar-akaran),,
ARPUS,"damar untuk menguatkan tali, seperti tali penggesek biola",,
ARSAP,daun pisang yang telah layu dan batangnya meliuk ke bawah,,Batak
ARSEN,arsenik,,
ARSIK,"masakan yang dibuat dari daging atau ikan yang dibumbui sambal dan asam potong, direbus hingga kuahnya kering",,Batak
ARSIP,"dokumen tertulis (surat, akta, dan sebagainya), lisan (pidato, ceramah, dan sebagainya), atau bergambar (foto, film, dan sebagainya) dari waktu yang lampau, disimpan dalam media tulis (kertas), elektronik (pita kaset, pita video, disket komputer, dan sebagainya), biasanya dikeluarkan oleh instansi resmi, disimpan dan dipelihara di tempat khusus untuk referensi",,
ARSIR,garis-garis kecil sejajar berbayang,,
ARSIS,tekanan suara naik,,Sastra
ARTIA,hari pertama setiap bulan dalam penanggalan Batak Karo dan Batak Toba,,Batak
ARTIK,→ Arktika,,
ARTIS,ahli seni,,
ARUAN,gabus3,,
ARUBA,"negara bagian Belanda yang terletak di pulau Karibia, beribu kota Oranjestad",,
ARUDA,inggu1,,
ARUNA,fajar,,Sanskerta
ARUNG,jalan,,
ARWAH,jiwa orang yang meninggal,semoga --nya diterima di sisi Tuhan,
ARWER,buah salak yang masih kecil,,Kur
ARZAK,permata yang indah warnanya,,
ASADA,hari raya umat Buddha yang jatuh pada bulan Asada saat purnama sidi untuk memperingati khotbah pertama Buddha,,Agama Buddha
ASAHI,"penganan yang terbuat dari ubi jalar, dicampur dengan tepung terigu dan pewarna makanan, kemudian dibakar",,Bacan
ASALI,bersifat asal,,Arab
ASANA,sikap kaki yang berbeda-beda menurut dewa yang diwujudkan,,Arkeologi
ASARI,"rumah adat yang dindingnya terbuat dari pelepah nipah, atapnya dari gaba-gaba",mereka berkumpul di --,Hitu
ASASI,bersifat dasar,tindakan itu melanggar hak -- manusia,
ASBAK,tempat membuang abu dan puntung rokok,,
ASBES,"serat mineral yang dapat digunakan dalam berbagai ragam industri, bersifat tahan panas, dan tidak mudah menjadi abu apabila terbakar",,
ASBUN,asal bunyi (sebutan untuk perilaku asal berbicara tanpa dipikirkan terlebih dahulu),,akronim
ASBUT,campuran asap dan kabut,,Fisika
ASCUN,asap racun,,akronim
ASDOS,asisten dosen,,akronim
ASEAN,organisasi negara-negara Asia Tenggara,,akronim
ASESE,bersetuju,,Cakapan
ASESI,orang atau pihak yang dinilai,tugas asesor adalah melaksanakan asesmen terhadap --,Psikologi
ASFAL,hina,,Arab
ASFAR,kuning,,Arab
ASHAR,→ asar (1),,
ASIAN,bernasib baik,,
ASIDE,"tokoh yang berbicara langsung dengan menghadap kamera, seolah sedang berbicara pada penonton",,Perfilman
ASING,aneh,hal itu sangat -- bagiku,
ASIRI,mudah menguap pada temperatur yang relatif rendah,,
ASKAR,laskar,,Arkais
ASKES,"Asuransi Kesehatan (BUMN yang bergerak di bidang asuransi kesehatan, sejak 1 Januari 2014 berganti nama menjadi BPJS Kesehatan)",,akronim
ASKET,orang yang menjalani asketisisme,,
ASKON,bunga karang yang berpori-pori di dalam dinding tubuh dan bermuara langsung dalam paragaster,,Zoologi
ASKOT,"syal lebar yang dililitkan pada bagian leher di bawah dagu, dapat dibentuk menyerupai dasi, lilit penuh dan sebagainya",,Tata Busana
ASLOG,asisten logistik,,akronim
ASMAT,"suku bangsa yang mendiami daerah Asmat, Provinsi Papua",,
ASNAD,penyokong,,
ASONG,jual dengan menyodor-nyodorkan,,
ASOPS,asisten operasi,,akronim
ASPAL,"campuran hidrokarbon alam yang amorf, berwarna cokelat hitam dan berupa zat padat atau setengah padat yang dihasilkan dari minyak bumi dengan suhu pembakaran tinggi",,
ASPEK,tanda,linguis dapat mencatat dengan baik ucapan-ucapan yang mempunyai -- fonemis,
ASPEL,tusuk sanggul dari logam berbentuk seperti garpu,,Sunda
ASPRI,asisten pribadi,,akronim
ASRAR,rahasia,,Arab
ASROK,"tempat memarkir perahu di bibir sungai, biasanya ditambatkan pada pohon atau batang kayu",(asrok) akan ramai jika para nelayan tidak melaut,Jawa
ASROT,asisten sorot (orang yang membantu menayangkan dan mengoperasikan bahan presentasi atau bahan rapat),,Cakapan
ASTAS,"penganan tradisional masyarakat Kur, terbuat dari buah sukun yang dibakar, lalu setelah kulitnya dikupas, dagingnya diiris tipis-tipis dan dijemur, biasa dimakan dengan isi kenari dan parutan kelapa",,Kur
ASTEK,asuransi sosial tenaga kerja,,akronim
ASTER,"tumbuhan yang berasal dari Amerika Utara, termasuk suku Compositae, warna bunganya merah, kuning, ungu, putih, atau merah muda",,
ASUAN,"ikan yang hidup di ekosistem perairan laut dan payau, panjangnya mencapai 90 cm, duri ketiga sirip punggung berukuran paling panjang, badan bercorak belang hitam putih, memiliki tanda merah di sekitar mata, hidup di terumbu karang perairan tropis dengan kedalaman 5–30 m, tersebar di perairan Indo-Pasifik Barat",,
ASUNG,hasut,,Minangkabau
ASURA,"makhluk supranatural dalam mitologi Hindu dan Buddha yang berbentuk raksasa, melambangkan segala sesuatu yang berlawanan dengan dewa",,
ASWAD,hitam,,Arab
ASYAR,→ asar (1),,
ASYIK,dalam keadaan sibuk (melakukan sesuatu dengan gemarnya),mereka sedang -- bekerja,
ATASE,ahli yang diperbantukan pada kedutaan untuk mengurus (mewakili) suatu bidang,-- kebudayaan,
ATEIS,orang yang tidak percaya akan adanya Tuhan,kelompok -- tidak akan mengambil bagian dalam suatu upacara agama,
ATELA,pakaian berwarna hitam putih yang dikenakan oleh para abdi dalem di keraton Yogyakarta,,Jawa
ATHAN,atase pertahanan,,akronim
ATITA,masa lampau,,Sanskerta
ATLAS,buku yang berisi peta bumi,,
ATLET,"olahragawan, terutama yang mengikuti perlombaan atau pertandingan (kekuatan, ketangkasan, dan kecepatan)",,
ATLIT,→ atlet,,
ATMAN,atma,,
ATMIL,atase militer,,akronim
ATONI,"suku bangsa yang mendiami pedalaman Pulau Timor bagian barat, Provinsi Nusa Tenggara Timur",,
ATORI,"suku bangsa yang mendiami daerah pedalaman Kepala Burung, Provinsi Papua",,
ATOWA,"gendering yang bagian kayunya dibuat dari kayu ringan agar mudah dibawa, tutupnya dibuat dari selaput kulit biawak, digunakan untuk menghormati tamu",,
ATUNG,"cari: atung-atung, teratung-atung",,prakategorial
AUDIO,bersifat dapat didengar,,
AUDIT,"pemeriksaan pembukuan tentang keuangan (perusahaan, bank, dan sebagainya) secara berkala",,
AUKSI,tata cara perdagangan sekuritas atas dasar diskonto untuk menentukan harga jadi tawaran tertinggi sampai terendah,,Keuangan
AULIA,orang suci,,
AUMAN,bunyi aum,,
AURAL,bersangkutan dengan telinga atau indra pendengaran,,
AURAT,bagian badan yang tidak boleh kelihatan (menurut hukum Islam),rambut merupakan salah satu -- perempuan,
AURUM,logam mulia kuning dan mulur,,Kimia
AUTAD,"anggapan tentang adanya empat orang yang sangat alim dan saleh, masing-masing menempati empat penjuru dunia, yaitu timur, barat, utara, dan selatan",,Agama Islam
AUTIS,penderita autisme,,
AVGAS,bahan bakar untuk pesawat terbang bukan jet,,
AVTUR,bahan bakar untuk pesawat terbang turbin gas yang batas titik didihnya sekitar 150°C,,
AWANG,"cari: awang-awang, awang-gemawang, awangan, mengawang, perawangan",,prakategorial
AWOTA,"mempererat tali silaturahmi, rasa persaudaraan, dan kebersamaan dengan orang lain sehingga dapat menyatu dengan semua kalangan",pemimpin yang baik harus dapat -- dalam kehidupan sehari-hari,Gorontalo
AWUHU,nelayan penangkap ikan-ikan besar,,Gorontalo
AWUTA,"permainan menyerupai congkak yang dimainkan dengan melubangi tanah, dilakukan untuk menghibur orang yang sedang berduka",,Gorontalo
AYENG,cari: ayeng-ayengan,,prakategorial
AYEUH,batang padi yang rebah karena tertiup angin malam dan terlampau berat akibat gabah yang membebaninya,,Sunda
AYFAT,"suku bangsa yang mendiami daerah Kabupaten Sorong, Provinsi Papua",,
AYTEK,arwah orang yang mati terbunuh,,Muyu
AZALI,bersifat azal,,
AZERI,bahasa yang dituturkan di Azerbaijan,,
AZMAT,hebat,tempik sorak kawan dan musuh terlalu -- bunyinya,Klasik
AZUKI,kacang merah kecil yang berasal dari Jepang,,Jepang
BAANG,perapian yang dibuat dari tanah,,
BAAWU,gelas yang dibuat dari tempurung kelapa,,Gorontalo
BABAD,"kisahan berbahasa Jawa, Sunda, Bali, Sasak, dan Madura yang berisi peristiwa sejarah",,Sastra
BABAH,→ baba (1),,
BABAK,bagian besar dalam suatu drama atau lakon (terdiri atas beberapa adegan),pertunjukan drama tiga --,Sastra
BABAL,putik nangka,,
BABAN,cari: membaban,,prakategorial
BABAR,→ bebar,,
BABAS,"cari: membabas, terbabas",,prakategorial
BABAT,tebas,,
BABEL,kerajaan besar dan penting di daerah Mesopotamia kuno yang mengancam bangsa Israel dan kerajaan lain dan akhirnya menghancurkan Yerusalem (586 SM),,Agama Kristen
BABIL,suka membantah,,
BABIT,"cari: membabitkan, terbabit",,prakategorial
BABKA,"roti manis yang dikombinasikan dengan selai cokelat, kismis, kacang, dan sebagainya, berbentuk kepang dengan banyak lapisan",,
BABON,induk ayam,,
BABUN,kera genus Papio yang terdapat di Asia dan Afrika termasuk keluarga Cercopithecoidea,,
BABUR,tidak teratur,,
BABUT,permadani,,Jawa
BACAH,cincang,,
BACAK,berbintik-bintik (tentang bulu),ayam --,Minangkabau
BACAN,"suku bangsa yang mendiami Pulau Bacan di sebelah barat daya Pulau Halmahera, Provinsi Maluku Utara",,
BACAR,"lancar dan banyak (tentang bicara, biasanya dalam arti yang kurang baik)",,
BACEK,lunak karena mengandung air (tentang tanah dan sebagainya),,Melayu Jakarta
BACEM,rendam,,
BACIK,nakhoda kapal,,
BACIN,berbau busuk (seperti bau ikan busuk),,
BACOK,tetak dengan benda tajam,,
BACOT,mulut,,Kasar
BACUL,"kurang semangat (berkelahi, berlaga, dan sebagainya)",,Cakapan
BACUT,cari: kebacut,,prakategorial
BADAI,angin kencang yang menyertai cuaca buruk (yang datang dengan tiba-tiba) berkecepatan sekitar 64—72 knot,kampung nelayan itu hancur diserang --,
BADAK,"binatang menyusui yang berkulit tebal, bercula satu atau dua, termasuk suku Rhinocerotidae",,
BADAL,pengganti (terutama bagi orang naik haji),,
BADAM,"pohon yang tingginya mencapai 12 m, daun lanset, bunga berwarna putih, buah pelok berwarna hijau, biji buah digunakan dalam berbagai makanan",,
BADAN,tubuh (jasad manusia keseluruhan),akibat kecelakaan itu --nya cacat,
BADAR,ikan kecil-kecil (seperti teri),,
BADAU,badari,,Arkais
BADEK,keris kecil bermata agak lebar,,Melayu Kep. Riau:
BADER,tawes,,
BADES,biang keringat,,Bali
BADIK,"senjata tradisional khas suku Bugis dan Makassar berbentuk pisau, bersarung, bermata satu, memiliki kegunaan sebagai simbol, azimat, dan untuk membela diri",,
BADUI,suku bangsa pengembara di tanah Arab,,
BADUK,tidak normal,,
BADUL,kembang kunyit,,Sunda
BADUR,"terna berumbi yang memiliki satu daun dan bunga yang muncul setelah daun mati, berukuran lebih kecil dari bunga bangkai, memiliki gagang perbungaan yang panjang melebihi panjang daun, seludangnya berwarna putih, buahnya berwarna hijau sampai merah, mengeluarkan bau seperti bangkai untuk mengundang serangga, berasal dari Pulau Jawa, Nusa Tenggara, dan Filipina",,
BADUT,pelawak (dalam pertunjukan dan sebagainya),,
BAFTA,→ baftah,,
BAGAI,jenis,permata sembilan --,Klasik
BAGAK,besar hati,,
BAGAL,terlampau besar (kuat),,Arkais
BAGAN,pangkalan,,Arkais
BAGAR,gulai daging yang tidak bersantan,,Minangkabau
BAGAS,tetap kuat (tentang badan),,
BAGAT,bintik-bintik hitam di badan,,
BAGAU,→ rumput,,
BAGEA,"kue kering, dibuat dari sagu dan dibungkus dengan daun nipah",,
BAGEI,sebutan untuk orang asing di luar suku Bajau,,
BAGEL,"roti mirip donat yang tekstur bagian dalamnya lebih keras, biasa disantap dengan cara dibelah lalu diolesi krim keju",,
BAGEN,sistem bagi hasil melaut sesuai bagian dan jabatan awak kapal,,Jawa
BAGET,"roti panjang khas Prancis, bertekstur keras di luar dan lembut di dalam, biasanya dihidangkan dengan makanan lain",,
BAGOR,anyaman kasar dari daun rumbia,,
BAGUK,manyung,,
BAGUL,gendong,,
BAGUR,"lekas menjadi besar (gemuk) dan tinggi (tentang manusia, binatang)",,
BAGUS,baik sekali,permainannya -- sekali,
BAHAK,"cari: terbahak, terbahak-bahak",,prakategorial
BAHAL,jalan setapak yang biasa dilalui manusia sehingga rumput-rumput di jalan tersebut mati,,Batak
BAHAM,cari: membaham,,prakategorial
BAHAN,pecahan kayu (yang terbuang ketika menarah),,
BAHAR,laut,,Klasik
BAHAS,cari: membahas,,prakategorial
BAHAU,"suku bangsa yang mendiami daerah pedalaman Kalimantan, terutama di hulu Sungai Mahakam",,
BAHEI,"buah pepaya yang busuk, ditandai oleh kulitnya yang rusak tidak merata dan berbintik hitam serta rasa daging buah yang pahit",buah pepaya itu jangan dimakan karena sudah --,Minahasa Tonsawang
